ISO Code,dt,AverageTemperature
ABW,1824,27.69718181818182
ABW,1825,27.95458333333333
ABW,1826,27.818
ABW,1827,28.008818181818185
ABW,1828,27.70627272727273
ABW,1829,27.3547
ABW,1845,27.266444444444446
ABW,1846,27.839250000000003
ABW,1847,27.360583333333334
ABW,1848,27.321
ABW,1849,27.509833333333333
ABW,1850,27.43816666666667
ABW,1851,27.534833333333335
ABW,1852,27.24716666666667
ABW,1853,27.48575
ABW,1854,27.44033333333333
ABW,1855,27.616083333333332
ABW,1856,27.949583333333337
ABW,1857,27.06108333333333
ABW,1858,27.137500000000003
ABW,1859,27.23075
ABW,1860,27.343999999999994
ABW,1861,27.457333333333334
ABW,1862,27.292666666666662
ABW,1863,27.44575
ABW,1864,27.43616666666667
ABW,1865,27.523000000000007
ABW,1866,27.25041666666667
ABW,1867,27.634083333333326
ABW,1868,27.857583333333334
ABW,1869,28.24533333333333
ABW,1870,27.463083333333334
ABW,1871,27.524416666666667
ABW,1872,27.997500000000002
ABW,1873,27.520250000000004
ABW,1874,27.48541666666667
ABW,1875,27.602500000000003
ABW,1876,27.84116666666667
ABW,1877,28.179750000000002
ABW,1878,28.542500000000004
ABW,1879,27.739166666666666
ABW,1880,27.226499999999998
ABW,1881,27.367500000000003
ABW,1882,27.075583333333338
ABW,1883,27.357833333333332
ABW,1884,27.167083333333334
ABW,1885,27.617250000000002
ABW,1886,27.374499999999998
ABW,1887,27.153333333333332
ABW,1888,27.601583333333338
ABW,1889,27.92233333333333
ABW,1890,27.059
ABW,1891,27.82025
ABW,1892,27.42775
ABW,1893,27.207916666666666
ABW,1894,27.194083333333335
ABW,1895,27.483583333333332
ABW,1896,27.65491666666667
ABW,1897,27.83683333333333
ABW,1898,27.41433333333333
ABW,1899,27.698416666666663
ABW,1900,28.02791666666667
ABW,1901,27.782666666666668
ABW,1902,27.895083333333332
ABW,1903,27.938916666666668
ABW,1904,27.385000000000005
ABW,1905,27.771833333333333
ABW,1906,27.6965
ABW,1907,27.48783333333333
ABW,1908,27.573333333333334
ABW,1909,27.46075
ABW,1910,27.491083333333336
ABW,1911,27.5805
ABW,1912,27.729916666666668
ABW,1913,27.3515
ABW,1914,27.821416666666668
ABW,1915,28.280333333333335
ABW,1916,27.571833333333334
ABW,1917,27.098
ABW,1918,27.29041666666667
ABW,1919,27.84933333333333
ABW,1920,27.625083333333336
ABW,1921,27.409500000000005
ABW,1922,27.587833333333332
ABW,1923,27.632500000000004
ABW,1924,27.893583333333336
ABW,1925,27.69083333333333
ABW,1926,28.315250000000002
ABW,1927,27.810750000000002
ABW,1928,27.96325
ABW,1929,27.798416666666668
ABW,1930,27.77275
ABW,1931,28.22091666666667
ABW,1932,28.059583333333325
ABW,1933,27.717916666666667
ABW,1934,27.968833333333333
ABW,1935,27.665916666666664
ABW,1936,27.865250000000003
ABW,1937,28.008666666666667
ABW,1938,27.52583333333334
ABW,1939,27.750916666666665
ABW,1940,28.530083333333334
ABW,1941,28.647250000000003
ABW,1942,28.573750000000004
ABW,1943,27.948916666666666
ABW,1944,28.034750000000003
ABW,1945,27.82625
ABW,1946,27.685916666666667
ABW,1947,28.266583333333333
ABW,1948,28.229083333333335
ABW,1949,27.815500000000004
ABW,1950,27.4885
ABW,1951,28.18166666666666
ABW,1952,28.50583333333334
ABW,1953,28.45141666666667
ABW,1954,28.057666666666666
ABW,1955,27.68975
ABW,1956,27.85525
ABW,1957,28.03825
ABW,1958,28.836916666666664
ABW,1959,28.187
ABW,1960,28.253583333333335
ABW,1961,28.072833333333335
ABW,1962,28.286
ABW,1963,28.317249999999998
ABW,1964,28.076416666666663
ABW,1965,28.046750000000003
ABW,1966,28.241166666666672
ABW,1967,27.95475
ABW,1968,28.114333333333335
ABW,1969,28.631
ABW,1970,28.369333333333334
ABW,1971,27.89
ABW,1972,28.352333333333334
ABW,1973,28.331833333333332
ABW,1974,27.70025
ABW,1975,27.943250000000003
ABW,1976,27.810083333333335
ABW,1977,28.45441666666667
ABW,1978,28.39158333333333
ABW,1979,28.432333333333336
ABW,1980,28.62691666666667
ABW,1981,28.44825
ABW,1982,28.246500000000008
ABW,1983,28.687
ABW,1984,28.198166666666665
ABW,1985,27.88566666666667
ABW,1986,27.98933333333333
ABW,1987,28.85941666666666
ABW,1988,28.34991666666667
ABW,1989,28.134583333333335
ABW,1990,28.243333333333325
ABW,1991,28.34308333333333
ABW,1992,28.498750000000005
ABW,1993,28.589166666666667
ABW,1994,28.482249999999997
ABW,1995,28.73641666666667
ABW,1996,28.479583333333338
ABW,1997,28.763333333333332
ABW,1998,28.982499999999998
ABW,1999,28.197916666666668
ABW,2000,28.127999999999997
ABW,2001,28.630916666666664
ABW,2002,28.849249999999998
ABW,2003,28.84966666666666
ABW,2004,28.506
ABW,2005,28.77225
ABW,2006,28.804666666666666
ABW,2007,28.82283333333333
ABW,2008,28.45025
ABW,2009,28.832000000000004
ABW,2010,28.968333333333334
ABW,2011,28.513333333333332
ABW,2012,28.652333333333335
ABW,2013,28.541249999999998
AFG,1838,18.379571428571428
AFG,1840,13.413454545454545
AFG,1841,13.9976
AFG,1842,15.15466666666667
AFG,1843,13.75625
AFG,1844,13.148750000000001
AFG,1845,13.305833333333334
AFG,1846,14.030833333333335
AFG,1847,13.475583333333335
AFG,1848,13.136250000000004
AFG,1849,13.444416666666669
AFG,1850,13.326083333333335
AFG,1851,13.60566666666667
AFG,1852,13.541166666666664
AFG,1853,13.455833333333336
AFG,1854,13.60575
AFG,1855,13.923833333333334
AFG,1856,13.464666666666668
