ISO Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
COL,0.0,0.38517,0.64033,0.68742,0.315,0.11892,0.02658,0.64458,1.108,0.59233,0.521,0.62417,0.575,0.62442,0.55333,0.62733,0.78025,0.41842,0.389,0.75525,0.50542,0.13158,0.61375,0.75292,0.231,0.17975,0.34783,0.869,0.69642,0.7795,1.00692,0.71867,0.76525,1.20892,0.45783,0.58683,0.58725,1.20667,0.78758,0.43775,0.79333,0.916,1.10775,0.78058,0.73658,1.067,0.72408,1.15417,1.45333,0.44483,0.60433,0.98608,1.14492,1.2295,1.12808,1.245,1.05075,1.06817,0.72808,1.1925,1.26183,0.82108,0.9555,1.15367
COM,0.0,0.07492,0.34108,0.33133,0.32767,0.02608,-0.16475,0.17533,0.48825,0.10858,0.04208,0.58633,0.20983,-0.15958,-0.15658,-0.235,0.28025,0.26708,-0.21117,0.50783,0.28433,-0.2465,0.18117,0.24242,-0.16617,0.035,0.06908,0.5815,0.26,0.29633,0.30225,0.3185,0.62583,0.54875,-0.04925,0.13108,0.38583,0.73858,0.70342,0.15208,0.52758,0.57117,0.59217,0.5525,0.82683,0.75942,0.32767,0.6795,1.02158,0.66242,0.36983,0.78858,1.03208,0.97483,0.76625,1.0565,0.84017,0.97892,0.56258,0.96758,1.16117,0.82833,0.75758,0.91721
CPV,0.0,-0.27542,-0.29633,-0.01467,-0.48517,0.159,-0.38592,-0.4065,0.186,-0.57942,-0.36817,-0.0485,0.1325,0.12708,-0.11617,-0.40317,0.13508,-0.30667,-0.45692,0.62492,0.39708,-0.3275,-0.30717,0.11025,-0.65075,-0.30792,-0.2975,0.14392,0.2455,0.5905,0.39192,0.29275,-0.151,0.40667,0.03383,0.00233,-0.15058,0.58467,0.277,0.22625,0.404,0.29008,0.34092,0.10833,0.1175,0.826,0.88933,0.96483,1.03233,0.28567,0.37458,0.94425,0.76333,0.48433,0.55158,0.79167,0.72708,0.45233,0.62842,0.25775,1.49108,0.9675,0.76217,0.18917
CRI,0.0,0.58117,0.434,0.552,0.28133,0.157,0.14258,0.874,0.94758,0.62575,0.52783,0.44075,0.26875,0.41492,0.3085,0.501,0.56267,0.07242,0.1035,0.58242,0.18542,0.06275,0.683,0.58275,0.12508,0.112,0.41067,0.74642,0.53067,0.50492,0.52092,0.40892,0.73933,1.14075,0.24325,0.37992,0.65708,1.38608,0.584,0.40917,0.92167,0.92133,0.99317,0.95075,1.05725,0.92425,0.59392,1.43767,1.6055,0.49583,0.70358,0.74575,0.93817,1.20892,1.15992,1.03567,1.14633,1.01433,0.6875,1.15433,0.85817,0.74483,0.91342,1.08897
CUB,0.0,0.24642,0.328,0.69133,0.28042,0.19458,0.18042,0.563,0.436,0.78192,0.38983,0.56383,0.29067,0.35058,0.65917,0.4185,0.12108,0.43458,0.09358,0.51383,0.26817,0.33567,0.62733,0.54025,0.40575,0.74675,0.35858,0.51292,0.48283,0.53425,0.70417,0.3425,0.93775,0.72233,0.48858,0.52783,0.72858,0.78075,0.68075,0.75942,0.98942,1.02183,0.71558,0.73042,1.12067,0.9835,0.65733,1.49425,1.26308,0.6535,0.641,0.71242,1.169,1.21758,1.12492,1.00008,1.0105,1.13575,0.91075,0.87833,0.48333,1.009,0.915,1.10644
CUW,0.0,0.69292,1.02617,0.93675,0.5655,0.29308,0.36858,0.5345,1.33925,0.71675,0.85342,0.59617,0.78758,0.83817,0.63075,0.53742,0.77008,0.43783,0.64258,1.16717,0.88358,0.36258,0.80758,0.825,0.22233,0.45275,0.29158,0.97075,0.93108,0.99617,1.1115,1.05175,0.76342,1.16333,0.71475,0.41142,0.56375,1.45442,0.86325,0.63533,0.77158,0.78142,0.988,1.07925,1.0,1.3015,1.03333,1.15783,1.48233,0.76283,0.64375,1.09008,1.32258,1.34575,0.97033,1.28925,1.345,1.36433,0.99817,1.33217,1.55317,1.05942,1.13267,1.20017
CXR,0.0,-0.04725,0.15733,0.249,0.20092,-0.09458,0.04808,0.32117,0.36567,0.47342,0.16108,0.04958,0.04892,0.05092,0.13283,-0.01967,0.17958,0.12375,-0.01325,0.38208,0.17658,-0.06283,0.32467,0.54758,0.12,0.08817,0.05175,0.29792,0.15175,0.358,0.307,0.31608,0.27058,0.59825,0.15025,0.28125,-0.04975,0.59058,0.59167,0.46425,0.6245,0.44717,0.47692,0.54442,0.41175,0.64617,0.77417,0.47842,1.07217,0.5135,0.55042,0.52375,0.90892,0.86842,0.76458,0.85475,0.70208,0.7305,0.45525,0.72,1.01492,0.54017,0.84533,1.18592
CYM,0.0,0.30217,0.31083,0.75517,0.30458,0.21325,0.17042,0.41658,0.59692,0.73375,0.56567,0.63133,0.34142,0.34958,0.65042,0.4155,0.13567,0.30708,0.0065,0.48933,0.26325,0.31275,0.58875,0.57142,0.34658,0.56183,0.32967,0.60792,0.52242,0.52892,0.672,0.30083,0.87933,0.78492,0.5445,0.56967,0.65517,0.74633,0.78858,0.63242,0.88817,0.89567,0.65883,0.78842,1.16367,1.11075,0.65592,1.27842,1.22775,0.69542,0.62858,0.83592,1.2495,1.17783,1.11267,1.07783,1.0215,1.15067,0.90392,1.0195,0.56117,0.96892,0.648,1.08497
CYP,0.0,0.50467,0.49425,-0.55275,0.355,0.93675,0.06017,0.30942,0.60633,-0.35925,1.1395,0.29842,1.09633,0.77217,-0.18325,0.12667,0.85683,-0.42183,0.39675,0.41683,0.50158,0.11033,-0.202,0.19358,0.044,0.0395,-0.22025,0.26017,0.44142,0.75942,0.05375,0.43558,-0.22992,-0.372,0.147,0.40142,0.48808,0.08658,0.28317,0.28367,0.39808,0.28642,-0.74708,0.15267,1.00567,0.28267,0.67925,0.07992,1.16775,1.27742,0.64567,1.21542,0.93283,0.93875,0.79942,0.79075,0.74383,1.149,1.34842,1.361,2.15567,0.88558,1.21567,1.55354
CZE,0.0,0.26917,-0.80117,0.11058,-1.19292,-1.11192,-1.87025,-0.14592,-0.45033,0.00942,-0.34475,0.24008,-1.33367,-1.35167,-0.78308,-1.31058,0.09442,0.25117,-0.394,-0.93125,-0.97925,-0.37083,-0.58775,-0.47042,0.24675,0.294,-0.38525,-0.017,-0.94975,-0.547,-1.3915,-0.319,0.13592,0.46608,-0.67925,-1.249,-0.61508,-1.13975,0.22558,0.68633,0.665,-0.52567,0.80617,-0.15567,1.15475,0.11408,-1.44758,-0.15833,0.39833,0.59958,1.36133,0.08117,0.906,0.57367,0.14825,0.03025,0.56767,1.30367,1.11708,0.668,-0.54542,0.8745,0.62992,0.98333
DEU,0.0,0.163,-0.64658,0.41358,-0.86458,-0.96933,-1.68392,0.03267,-0.32758,0.52933,-0.13925,0.47075,-1.3285,-1.43292,-0.41708,-1.02042,-0.00775,0.38825,-0.32983,-0.74042,-0.79733,-0.05325,-0.59858,-0.25058,0.317,0.44025,-0.00292,0.15142,-0.72067,-0.75175,-0.92617,-0.33292,0.41992,0.53225,-0.53042,-1.04008,-0.56833,-1.06417,0.54217,1.02642,1.03608,-0.13033,0.85242,-0.01992,1.19358,0.38008,-1.279,0.39525,0.51833,0.96733,1.367,0.437,0.98392,0.84083,0.4,0.475,1.05258,1.34408,0.98875,0.70575,-0.64442,1.16617,0.57375,0.58183
DJI,0.0,0.35075,0.21033,0.41758,0.36775,0.25708,-0.01275,-0.045,0.65525,0.31433,0.34525,0.51358,0.36242,0.74167,0.28792,0.06642,0.46358,0.1995,0.18767,0.79242,0.63333,0.25342,0.73317,0.75867,0.11142,0.34192,0.36008,0.6635,0.70733,0.67992,1.1535,0.52325,0.69117,0.82067,0.33475,0.33375,0.442,0.75775,1.17592,0.44108,0.94708,0.9335,0.64308,0.38492,0.70642,0.90383,0.80933,0.91342,1.42458,1.01558,1.50408,1.121,1.17567,1.40192,1.185,1.45267,1.4215,1.43042,0.98333,1.54083,1.48108,1.48842,1.56767,2.38883
DMA,0.0,0.40433,0.74533,0.71092,0.27925,0.54067,0.30275,0.38175,0.96017,0.69258,0.80508,0.55192,0.67542,0.80592,0.59617,0.41725,0.56058,0.297,0.3355,0.85717,0.62508,0.29133,0.529,0.69217,0.2895,0.23908,0.15325,0.62808,0.71775,0.64467,0.95533,0.88833,0.638,0.89875,0.45283,0.47675,0.56008,1.14975,0.8635,0.58067,0.83183,0.74658,0.821,0.84992,0.8265,1.17633,0.8345,1.15917,1.47,1.01525,0.7735,1.10417,1.13767,1.282,1.03167,1.52125,1.35058,1.29642,0.86667,1.1525,1.68883,1.18983,1.31433,1.12413
DNK,0.0,-0.82092,0.2275,-0.24058,0.19133,-0.22525,-0.35758,0.35233,0.15283,-0.27083,0.64208,-0.8375,0.66375,0.3645,-0.44908,0.56375,-0.71867,-0.43975,-0.68267,-0.27425,-0.62133,-1.54908,-0.68175,-1.12083,-0.068,-1.35258,0.09342,-0.026,-0.325,-0.4785,0.58392,-0.22442,-0.84492,-2.26458,-1.176,0.51675,-0.02342,-0.6085,0.26817,-1.19142,-0.27717,-0.23475,-1.40725,-1.123,-0.49225,-0.10467,0.7875,0.13783,0.97225,-0.10592,0.76867,0.52542,1.30208,1.84608,0.82258,1.95017,1.01883,1.06008,0.74983,0.81,2.50742,0.95175,1.33225,2.66592
DOM,0.0,0.26175,0.68242,0.727,0.33483,0.0675,0.21592,0.62308,0.77508,0.82917,0.84542,0.51108,0.502,0.58983,0.57,0.33525,0.55892,0.53467,0.531,0.85658,0.44,0.18567,0.40975,0.66667,0.18667,0.36517,0.25217,0.79075,0.71967,0.52942,1.12783,0.86392,0.72542,1.01783,0.51983,0.52667,0.69375,1.05658,0.87692,0.66225,0.93283,0.81508,0.703,0.67817,1.04225,1.11942,0.63242,1.45892,1.438,0.9345,0.64208,1.10233,1.34292,1.388,1.12042,1.28283,1.34733,1.38767,0.96092,1.18475,1.21725,1.01242,1.10175,1.052
DZA,0.0,0.53983,0.40358,0.08758,-0.12942,1.223,-0.1705,-0.16158,0.76308,0.55183,0.72225,0.6085,0.40058,0.536,0.36567,0.19192,0.5195,0.07983,0.40408,0.67642,0.541,-0.10958,-0.08367,0.10433,-0.24083,-0.06542,-0.42508,0.76425,0.38,0.615,0.37833,0.79742,0.31233,0.90117,0.28125,0.74442,0.47483,1.46592,1.03383,0.9425,1.23258,0.22925,-0.01483,0.669,0.86025,0.94067,0.9525,1.17333,1.13875,1.51758,1.25042,1.94258,1.48117,1.61183,1.13417,1.44075,1.419,1.2835,1.16842,1.3725,2.43383,1.36233,1.173,2.33967
ECU,0.0,0.67842,0.56033,0.83458,0.18558,0.08208,0.10767,1.08608,0.95967,0.66192,0.48908,0.53,0.55417,0.6825,0.55175,0.87325,0.832,0.47225,0.55975,1.08767,0.62683,0.239,1.15125,0.74775,0.3615,0.23742,0.64583,0.85858,0.75233,0.957,1.00158,0.83325,1.14283,1.61225,0.55167,0.50383,0.73708,1.51267,0.7965,0.542,1.10033,1.19508,1.27708,1.08717,0.88267,1.23975,0.69808,1.7485,1.78658,0.56775,0.69158,0.90167,1.42925,1.33392,1.3135,1.19508,1.26875,1.02533,0.88983,1.34275,1.3055,1.00225,1.1115,0.92971
EGY,0.0,0.39008,0.58192,-0.00758,-0.01683,0.72092,0.29867,0.357,0.62367,-0.3965,0.94008,-0.44733,0.81575,0.97092,-0.208,0.08217,0.68875,-0.40017,0.05775,0.72333,0.02733,-0.00108,0.17367,0.0595,0.00917,-0.103,0.17983,-0.01333,0.27258,0.87908,0.38433,0.17067,-0.22733,-0.5875,0.20017,0.52858,0.22075,0.16783,0.55542,0.10892,0.41033,0.40742,-0.12617,0.71117,0.55392,0.48808,0.74525,0.25858,1.00133,1.09825,0.20033,0.93525,1.03517,0.81533,0.83,0.83917,0.82458,0.90325,1.22683,1.05392,2.47083,0.65033,1.08983,1.82417
ERI,0.0,0.09883,0.43533,0.27108,0.22633,0.14858,-0.17025,0.00117,0.63142,-0.02875,0.34475,-0.12167,0.17267,0.44158,-0.353,-0.00125,0.38158,-0.29475,-0.20558,0.356,0.19867,-0.2895,0.30825,0.49675,0.00475,-0.08917,0.13483,0.158,0.216,0.504,0.674,0.29958,-0.03058,0.11042,0.425,0.02808,0.03625,0.46633,0.57175,-0.01133,0.78225,0.591,-0.23692,0.26442,0.22475,0.47083,0.51808,0.48017,0.912,0.84825,0.85142,0.74475,0.97358,1.06392,0.91167,1.02417,0.82617,0.81958,0.9285,1.42675,1.38833,0.91992,1.21425,1.83767
ESH,0.0,-0.517,-0.14567,-0.01025,-0.57417,0.69467,-0.583,-0.53217,0.25667,-0.36767,-0.052,0.60817,0.24133,0.00342,0.31083,-0.22308,0.29792,-0.12875,-0.1965,0.27108,0.50567,-0.62542,-1.08658,0.01567,-0.51025,-0.31142,-0.878,0.11008,0.38075,0.57142,0.44983,0.54583,-0.10792,0.905,-0.06283,0.38008,-0.05775,1.25492,0.336,0.77792,0.92608,0.1645,0.25867,-0.17392,0.46867,0.89525,0.78642,1.1675,1.21433,0.36042,0.54425,1.22908,0.982,0.93308,0.94483,1.03183,0.966,0.66958,0.84725,0.90525,1.63842,0.92542,0.82758,1.26842
ESP,0.0,-0.89217,-0.44458,-0.346,-0.80958,0.29825,-1.56875,-0.70258,-0.22017,-0.25775,-0.45775,0.39683,-0.42667,-0.844,-0.1745,-0.58433,-0.26933,-0.54133,-0.30042,-1.02792,-0.51925,-1.14767,-1.42858,-0.81908,-0.91508,-0.865,-0.80425,-0.69075,-0.52258,-0.40758,-0.635,0.034,-0.03425,-0.04475,-0.8735,-0.10742,-0.363,0.22167,-0.07792,0.80667,0.52283,-0.23208,-0.284,-0.73858,0.41175,0.83292,-0.088,0.86667,0.31275,0.12725,0.2295,0.37683,0.40867,0.75767,0.15717,0.06433,0.86667,0.00208,-0.00975,0.72883,0.00675,1.08183,0.34075,0.61963
EST,0.0,-0.14917,-0.78117,0.42075,-0.20825,-0.96258,-1.7315,0.42833,-0.913,0.67575,-0.32517,1.34492,-0.54142,-1.01675,-0.0585,-0.79092,-1.17158,0.19792,-0.61908,-1.427,-0.88625,0.15917,0.73058,0.2665,1.07125,1.67542,-1.42525,-0.45525,-1.32242,-0.4315,-0.73342,-0.05292,0.20867,0.90783,0.5105,-1.66675,-0.34892,-1.95192,0.50758,1.94458,1.46258,1.02208,1.16583,-0.08975,0.01625,0.92983,-0.6575,0.54233,0.12542,1.22083,1.77275,0.737,0.97558,0.42617,0.70483,0.76542,1.29583,1.59483,2.03183,0.82583,-0.193,1.62933,0.25,1.72575
ETH,0.0,0.24183,0.51667,0.54275,0.34708,0.37133,0.003,0.19258,0.70492,0.49083,0.28442,0.23767,0.20158,0.41633,0.18958,0.19275,0.29833,0.05958,-0.02283,0.52942,0.47758,0.09408,0.593,0.78825,0.13425,0.18967,0.34192,0.47925,0.45925,0.67142,0.984,0.49658,0.5975,0.83533,0.534,0.25858,0.53525,0.96858,0.86108,0.198,0.72158,0.75442,0.5815,0.33075,0.55067,0.7385,0.70058,0.76583,1.03142,0.78883,1.10458,1.0035,1.16525,1.19917,1.12067,1.23892,1.12008,1.066,0.94458,1.61558,1.2695,1.41617,1.31817,1.9735
FIN,0.0,-0.60642,-1.06583,0.52808,0.07775,-2.37058,-2.22217,-0.14808,-1.63233,0.38067,-0.43033,0.82217,-1.20475,-0.9175,-0.29508,-1.31642,-2.46233,-0.19358,-1.71883,-1.676,-1.03292,-1.34992,0.61833,-0.49392,1.15642,0.78983,-1.79325,-1.03867,-2.09117,-0.80067,-1.32458,-1.36625,-0.39533,-0.20483,0.21958,-2.69375,-1.02883,-2.3625,-0.34975,1.46408,0.737,0.122,0.44333,-0.42333,-0.43233,0.14783,-0.51317,0.02133,-0.9795,0.11625,1.38442,-0.111,0.02392,0.29358,0.4085,1.024,0.68592,0.88608,0.99467,0.233,-1.0625,1.33492,-0.299,1.85787
FJI,0.0,-0.34917,0.12092,-0.04808,0.05608,-0.02408,-0.14175,-0.27742,-0.22142,0.06042,-0.12417,0.06108,-0.23533,-0.20692,0.01608,-0.73558,-0.55358,-0.34417,-0.22183,-0.26558,-0.01767,0.13117,-0.14117,0.38558,0.25675,0.37292,0.129,-0.18025,-0.29383,-0.043,-0.0125,0.13442,-0.03467,-0.02367,0.25375,0.17875,-0.27933,-0.13142,0.62583,0.15125,0.10642,0.05392,0.00225,-0.28692,-0.14533,0.42192,0.567,0.02933,0.57125,0.39258,0.54308,0.45733,0.41925,0.15258,0.21367,0.34933,0.33742,0.76125,0.43608,-0.06667,0.62442,0.42875,0.18417,0.64729
FRA,0.0,-0.28617,-0.14433,-0.08958,-0.61483,-0.19492,-1.1695,-0.13125,-0.15008,0.442,-0.20558,0.46858,-0.81892,-1.16042,-0.24283,-0.73142,-0.01808,-0.14575,-0.4355,-0.39975,-0.334,-0.36408,-0.63883,-0.34608,-0.19283,-0.27075,0.04508,-0.21667,-0.57625,-0.39683,-0.67742,-0.15258,0.44617,0.25458,-0.365,-0.60525,-0.36158,-0.27808,0.34767,0.69683,0.80558,-0.09375,0.22967,-0.08308,0.92292,0.6665,-0.21933,0.86275,0.48742,0.67167,0.73408,0.46325,0.81492,1.10467,0.43083,0.461,0.91058,0.66333,0.34825,0.70842,-0.11783,1.24633,0.47392,0.35138
FRO,0.0,-0.476,-0.68742,0.70333,-0.24658,-0.4195,-0.19225,0.00533,-0.24083,0.68675,0.492,0.29225,-0.54533,-0.30683,0.19742,-0.59117,-0.57258,-0.26742,-0.53017,-0.67017,-0.596,0.11008,0.52742,-0.39742,0.46175,-0.10583,0.19642,-0.2775,-0.39567,-1.16033,-0.16408,-0.86083,0.05642,-0.4345,0.33608,-0.59433,-0.37808,0.09125,-0.1175,0.11925,0.39533,0.55925,0.29783,-0.29667,-0.156,-0.48125,-0.01683,0.58492,0.04092,0.09583,0.18525,0.11858,0.88325,1.21225,0.84383,0.31267,0.872,0.54425,0.50067,0.98942,-0.17975,0.66208,-0.02508,0.07013
GAB,0.0,0.06017,0.004,-0.06008,-0.41442,-0.24542,-0.27692,0.00592,-0.09208,0.01017,0.09658,-0.23783,-0.07642,0.162,-0.1705,-0.15133,0.16142,-0.14475,-0.17733,0.06933,0.0645,-0.26692,-0.16925,0.26158,-0.28458,-0.261,-0.52492,0.11925,-0.08692,0.2595,0.1895,-0.13883,-0.3065,0.17883,0.18942,-0.13083,-0.13775,0.41283,0.33942,0.07383,0.13658,0.13258,-0.194,0.11025,0.21283,0.50267,0.0305,0.29617,0.96058,0.30258,0.13817,0.07933,0.39967,0.47775,0.419,0.53117,0.7235,0.62933,0.69367,0.70042,0.78675,0.29667,0.39742,0.40425
GBR,0.0,-0.18017,-0.24792,0.58692,-0.16258,-0.04958,-0.35308,0.55867,-0.01275,0.89267,0.30058,0.3825,-0.62517,-0.82842,0.06,-0.46467,-0.05925,0.214,-0.05325,-0.15125,0.05058,0.43133,-0.12667,0.17433,0.141,0.45875,0.47117,0.03033,-0.07075,-0.56642,0.024,-0.13208,0.39542,0.4725,0.28808,-0.44592,-0.61642,-0.28892,0.35392,0.96833,1.05542,0.20917,0.40583,0.05058,0.53158,0.80042,-0.068,1.02508,0.84358,1.04417,0.7605,0.52092,1.0605,1.12292,1.11817,1.03608,1.32425,1.17833,0.72908,0.83417,-0.22483,1.28875,0.41825,0.37833
GEO,0.0,0.48017,0.9515,-0.13458,0.51317,1.5535,-0.87392,1.05833,0.57117,-0.47967,0.80375,0.93267,1.70667,0.68392,-0.27617,0.21967,2.53058,-0.1285,0.72542,-0.03258,1.22608,0.87342,0.03292,-0.10567,0.2935,0.77942,-0.238,0.34792,0.45242,1.60758,0.82558,1.48425,0.02217,0.65558,0.56075,0.41467,0.83967,0.21242,0.24883,0.97908,0.88675,0.89958,-0.56658,-0.55967,0.76083,1.47008,1.16042,0.59317,1.90125,1.81167,1.35367,1.90425,1.2485,0.84708,1.26108,1.456,1.44625,1.56842,1.35108,1.59458,3.14492,0.56625,1.82983,2.72912
GGY,0.0,-0.25808,-0.25783,0.00083,-0.40475,-0.06175,-0.91733,0.29758,-0.1615,0.81142,0.1045,0.49642,-0.84883,-1.40583,-0.29242,-0.64158,0.26733,-0.06342,-0.21917,-0.03183,-0.15825,0.00892,-0.49058,-0.0935,-0.08033,0.20583,0.35517,-0.13517,-0.27433,-0.62158,-0.38417,-0.02808,0.45208,0.35933,0.15958,-0.51092,-0.8125,-0.52133,0.39292,1.15008,1.12717,-0.31875,0.23958,-0.02167,0.87133,0.97775,-0.19242,0.88933,0.63683,1.13592,0.70967,0.66708,1.03575,1.02617,0.741,0.84075,0.97792,1.01833,0.55225,0.52325,-0.2485,1.28642,0.435,-0.40571
GHA,0.0,0.23767,0.092,0.06275,-0.18983,-0.2405,-0.25875,0.03008,0.15375,0.19258,0.13342,-0.00892,-0.02842,0.2225,-0.15792,-0.085,0.21783,-0.10858,0.03975,0.43342,0.45092,-0.08217,0.16467,0.68,0.00717,-0.12175,-0.31167,0.32767,0.12217,0.45267,0.38742,0.32617,0.109,0.62567,0.48517,0.24692,0.19992,1.09075,0.55225,0.309,0.55275,0.27742,0.14125,0.39692,0.27408,0.52025,0.43883,0.38092,0.9715,0.42792,0.55392,0.58675,0.70908,0.8415,0.72383,0.90917,0.88958,0.93567,0.67583,0.86558,1.243,0.90775,0.5875,1.0255
GIN,0.0,0.14458,0.14392,0.323,-0.11642,0.012,0.014,0.20325,0.40025,0.33275,0.30908,0.10592,0.12108,0.44875,0.17225,0.048,0.28992,-0.0355,0.24825,0.685,0.492,0.11433,0.418,0.71117,0.14167,0.013,-0.08125,0.47417,0.33725,0.60592,0.75667,0.53642,0.25608,0.863,0.49983,0.4935,0.20192,0.981,0.60675,0.40942,0.68558,0.72508,0.4585,0.70225,0.42983,0.6205,0.77517,0.66008,1.19408,0.51633,0.64358,0.96292,1.18925,1.08417,1.07858,1.18167,0.795,0.99175,0.96217,1.00008,1.27167,1.01742,0.73758,1.36117
GLP,0.0,0.48342,0.69383,0.80133,0.38733,0.56875,0.36383,0.57858,1.04133,0.82525,0.8985,0.65575,0.70858,0.84625,0.65483,0.3985,0.572,0.30983,0.36442,0.84683,0.68325,0.34267,0.52742,0.81408,0.30367,0.28908,0.20967,0.77008,0.79983,0.62725,1.06417,1.00433,0.64633,1.00892,0.53742,0.54567,0.64742,1.17825,0.90058,0.637,0.88475,0.82725,0.85267,0.89467,0.87792,1.30908,0.90375,1.24908,1.55233,1.06683,0.84017,1.19708,1.28475,1.43858,1.09333,1.56092,1.41242,1.43425,0.9135,1.2165,1.7075,1.22833,1.37008,1.20858
GMB,0.0,-0.06717,-0.15475,0.02,-0.07842,0.15733,-0.16617,-0.08892,0.40125,0.05408,0.15492,0.16708,0.33875,0.43692,0.18875,-0.24475,0.29817,-0.25042,-0.09608,0.92142,0.7205,-0.06017,0.28317,0.583,-0.24758,-0.13258,-0.159,0.65183,0.23992,0.681,0.67525,0.66125,0.16858,1.22108,0.47992,0.3945,0.32658,0.973,0.63733,0.40917,0.71742,0.627,0.61608,0.82242,0.48583,0.77183,0.8805,0.93192,1.40783,0.33925,0.6455,1.0715,1.12967,0.81033,0.95425,1.18675,0.75908,0.94667,0.92783,0.54075,1.38467,0.86425,0.88342,1.30613
GNQ,0.0,0.08317,0.0115,-0.01833,-0.43467,-0.20092,-0.38717,0.009,-0.07858,0.02433,0.06917,-0.18475,-0.05983,0.19808,-0.19008,-0.13617,0.19475,-0.04433,-0.07833,0.1155,0.12058,-0.20425,-0.07308,0.30825,-0.23258,-0.24892,-0.425,0.15108,-0.05408,0.3025,0.29075,-0.14875,-0.22033,0.11758,0.12867,-0.118,-0.17333,0.41517,0.33375,0.05425,0.20925,0.15933,-0.18658,0.11358,0.21075,0.53883,0.16267,0.2495,0.92775,0.24725,0.14483,0.1315,0.45075,0.55167,0.51842,0.54817,0.70967,0.69792,0.693,0.75708,0.82675,0.46992,0.46108,0.51475
GRC,0.0,-0.06675,0.22525,-1.10833,-0.86358,-0.1965,-1.21675,-0.59642,-0.26875,-1.23158,-0.13292,-0.29067,-0.18458,-0.31592,-0.99375,-1.02283,0.01867,-0.78017,-0.5245,-0.60025,-0.47408,-0.975,-0.93525,-0.94258,-0.95258,-0.91042,-1.4305,-0.341,-1.019,-0.4825,-1.08208,-0.6925,-0.87658,-1.02867,-0.76008,-0.421,-0.5025,-0.73217,-0.54717,-0.76008,-0.13967,-1.22617,-0.85367,-0.59842,0.40567,-0.53675,-0.79225,-0.87575,-0.13292,0.35317,0.03433,0.29258,-0.01667,-0.16642,-0.18333,-0.46367,-0.42633,0.44425,0.41592,0.31717,0.73225,-0.37767,0.4005,1.5145
GRD,0.0,0.40392,0.73917,0.62458,0.3615,0.41017,0.32308,0.41233,0.92483,0.66708,0.74817,0.69633,0.696,0.76017,0.43092,0.48275,0.60017,0.29858,0.2855,0.96267,0.62883,0.20492,0.49442,0.59267,0.24558,0.20283,0.2205,0.63467,0.7955,0.73042,0.95,0.97575,0.61475,0.87925,0.47925,0.28208,0.42817,1.19125,0.8705,0.53992,0.74492,0.68092,0.69633,0.88767,0.79025,1.17458,0.8255,0.99158,1.48525,1.00317,0.73017,1.04642,1.07042,1.25575,1.014,1.44725,1.28292,1.13025,0.90292,1.166,1.64817,1.20133,1.17567,1.15213
GRL,0.0,-0.83717,0.252,-0.258,0.21083,-0.21375,-0.33625,0.36042,0.17108,-0.28892,0.6625,-0.86358,0.69892,0.401,-0.44767,0.59617,-0.71567,-0.45675,-0.69217,-0.26533,-0.61142,-1.58375,-0.69125,-1.14683,-0.07892,-1.39817,0.10142,-0.0235,-0.32133,-0.45825,0.61133,-0.21433,-0.86392,-2.32008,-1.19925,0.55692,-0.00492,-0.5925,0.26325,-1.24125,-0.31117,-0.24458,-1.45775,-1.14042,-0.51517,-0.11275,0.82642,0.12892,0.98775,-0.1275,0.75883,0.53033,1.30633,1.8705,0.82558,1.9755,1.01242,1.05258,0.73683,0.81033,2.58042,0.95242,1.3545,2.717
GTM,0.0,0.59125,0.62525,0.93333,0.1765,0.287,0.10575,0.55883,0.78108,0.571,0.45408,0.53817,0.2405,0.30958,0.54817,0.48317,0.24775,0.24775,0.11642,0.8355,0.4045,0.42108,0.81992,0.73458,0.21342,0.517,0.08117,0.60783,0.6065,0.6635,0.77708,0.47392,0.87492,0.98725,0.388,0.42142,0.49525,0.77933,0.7455,0.40833,0.69775,0.97583,0.889,0.87458,1.11992,1.05892,0.54833,1.17508,1.40475,0.51667,0.52708,0.68267,0.93183,1.09208,0.89617,1.0465,0.9065,0.91675,0.58033,1.03817,0.78583,0.91908,0.94642,1.38958
GUF,0.0,0.2815,0.31058,0.29217,0.00483,0.04433,-0.06192,0.28533,0.67692,0.206,0.12642,0.15392,0.2875,0.25117,0.18033,0.14058,0.37467,-0.03308,-0.0065,0.63433,0.25592,-0.22308,0.06492,0.19183,-0.203,-0.15417,-0.00542,0.19967,0.25933,0.50425,0.51333,0.3545,0.26767,0.54617,-0.105,-0.01825,0.23908,0.88925,0.43842,0.11325,0.44892,0.43167,0.50692,0.3925,0.32933,0.72583,0.63533,0.82908,1.19975,0.549,0.33192,0.578,0.711,0.99858,0.954,1.41817,0.83708,0.73875,0.68158,0.9505,1.23792,0.81058,0.87558,0.74813
